Datetime,Real,Predicted,Signal
2022-01-08 23:15:00+00:00,3107.19,3121.9226,100
2022-01-08 23:20:00+00:00,3104.9300000000003,3122.9995,100
2022-01-08 23:25:00+00:00,3102.2,3123.722,100
2022-01-08 23:30:00+00:00,3098.8000000000006,3124.0862,100
2022-01-08 23:35:00+00:00,3099.46,3124.1064,100
2022-01-08 23:40:00+00:00,3104.77,3123.8435,100
2022-01-08 23:45:00+00:00,3105.16,3123.4248,100
2022-01-08 23:50:00+00:00,3096.3699999999994,3122.9111,100
2022-01-08 23:55:00+00:00,3093.0800000000004,3122.3127,100
2022-01-09 00:00:00+00:00,3084.96,3121.6125,100
2022-01-09 00:05:00+00:00,3077.48,3120.7444,100
2022-01-09 00:10:00+00:00,3080.8000000000006,3119.6416,100
2022-01-09 00:15:00+00:00,3085.36,3118.342,100
2022-01-09 00:20:00+00:00,3082.7699999999995,3116.943,100
2022-01-09 00:25:00+00:00,3084.72,3115.5085,100
2022-01-09 00:30:00+00:00,3085.1099999999997,3114.116,100
2022-01-09 00:35:00+00:00,3087.87,3112.8115,100
2022-01-09 00:40:00+00:00,3093.18,3111.6594,100
2022-01-09 00:45:00+00:00,3106.78,3110.7258,100
2022-01-09 00:50:00+00:00,3112.3099999999995,3110.1223,-100
2022-01-09 00:55:00+00:00,3114.3900000000003,3109.9373,-100
2022-01-09 01:00:00+00:00,3112.66,3110.2075,-100
2022-01-09 01:05:00+00:00,3123.9499999999994,3110.8394,-100
2022-01-09 01:10:00+00:00,3125.56,3111.8489,-100
2022-01-09 01:15:00+00:00,3113.4700000000003,3113.201,100
2022-01-09 01:20:00+00:00,3114.71,3114.7175,100
2022-01-09 01:25:00+00:00,3110.94,3116.261,100
2022-01-09 01:30:00+00:00,3108.52,3117.7239,100
2022-01-09 01:35:00+00:00,3104.45,3119.0198,100
2022-01-09 01:40:00+00:00,3107.47,3120.0723,100
2022-01-09 01:45:00+00:00,3105.89,3120.8767,100
2022-01-09 01:50:00+00:00,3105.66,3121.4429,100
2022-01-09 01:55:00+00:00,3111.65,3121.8096,100
2022-01-09 02:00:00+00:00,3116.13,3122.0742,100
2022-01-09 02:05:00+00:00,3117.73,3122.3186,100
2022-01-09 02:10:00+00:00,3120.12,3122.6104,100
2022-01-09 02:15:00+00:00,3122.83,3122.9856,100
2022-01-09 02:20:00+00:00,3128.3400000000006,3123.4568,-100
2022-01-09 02:25:00+00:00,3131.4699999999993,3124.0737,-100
2022-01-09 02:30:00+00:00,3128.8399999999997,3124.877,-100
2022-01-09 02:35:00+00:00,3129.26,3125.807,-100
2022-01-09 02:40:00+00:00,3130.53,3126.8252,-100
2022-01-09 02:45:00+00:00,3140.35,3127.896,-100
2022-01-09 02:50:00+00:00,3138.15,3129.064,-100
2022-01-09 02:55:00+00:00,3140.2899999999995,3130.3003,-100
2022-01-09 03:00:00+00:00,3136.8599999999997,3131.605,-100
2022-01-09 03:05:00+00:00,3134.57,3132.9192,-100
2022-01-09 03:10:00+00:00,3132.5,3134.1755,100
2022-01-09 03:15:00+00:00,3133.9500000000003,3135.2878,100
2022-01-09 03:20:00+00:00,3134.4200000000005,3136.2603,100
2022-01-09 03:25:00+00:00,3137.94,3137.1108,-100
2022-01-09 03:30:00+00:00,3137.93,3137.8557,100
2022-01-09 03:35:00+00:00,3138.2099999999996,3138.5283,100
2022-01-09 03:40:00+00:00,3133.14,3139.1406,100
2022-01-09 03:45:00+00:00,3131.43,3139.655,100
2022-01-09 03:50:00+00:00,3127.98,3140.0266,100
2022-01-09 03:55:00+00:00,3125.47,3140.2302,100
2022-01-09 04:00:00+00:00,3128.6799999999994,3140.2432,100
2022-01-09 04:05:00+00:00,3124.3200000000006,3140.096,100
2022-01-09 04:10:00+00:00,3128.2,3139.7974,100
2022-01-09 04:15:00+00:00,3129.13,3139.409,100
2022-01-09 04:20:00+00:00,3131.0400000000004,3138.9893,100
2022-01-09 04:25:00+00:00,3135.22,3138.5889,100
2022-01-09 04:30:00+00:00,3133.4300000000003,3138.2737,100
2022-01-09 04:35:00+00:00,3135.24,3138.0588,100
2022-01-09 04:40:00+00:00,3136.6000000000004,3137.9626,100
2022-01-09 04:45:00+00:00,3136.14,3137.985,100
2022-01-09 04:50:00+00:00,3139.0099999999998,3138.105,-100
2022-01-09 04:55:00+00:00,3137.2800000000007,3138.3132,0
