Datetime,Close,signal
2022-01-07 09:30:00-05:00,314.52,0.0
2022-01-07 09:31:00-05:00,315.24,0.0
2022-01-07 09:32:00-05:00,314.66,0.0
2022-01-07 09:33:00-05:00,313.56,0.0
2022-01-07 09:34:00-05:00,313.47,0.0
2022-01-07 09:35:00-05:00,313.2,0.0
2022-01-07 09:36:00-05:00,312.63,0.0
2022-01-07 09:37:00-05:00,312.62,0.0
2022-01-07 09:38:00-05:00,312.75,0.0
2022-01-07 09:39:00-05:00,313.13,0.0
2022-01-07 09:40:00-05:00,313.73,1.0
2022-01-07 09:41:00-05:00,314.29,1.0
2022-01-07 09:42:00-05:00,314.3,1.0
2022-01-07 09:43:00-05:00,315.31,1.0
2022-01-07 09:44:00-05:00,314.9,-1.0
2022-01-07 09:45:00-05:00,315.3,-1.0
2022-01-07 09:46:00-05:00,315.66,-1.0
2022-01-07 09:47:00-05:00,315.25,1.0
2022-01-07 09:48:00-05:00,315.1,1.0
2022-01-07 09:49:00-05:00,314.67,-1.0
2022-01-07 09:50:00-05:00,314.86,1.0
2022-01-07 09:51:00-05:00,314.9,0.0
2022-01-07 09:52:00-05:00,315.45,1.0
2022-01-07 09:53:00-05:00,315.21,-1.0
2022-01-07 09:54:00-05:00,315.38,-1.0
2022-01-07 09:55:00-05:00,316.07,1.0
2022-01-07 09:56:00-05:00,315.94,0.0
2022-01-07 09:57:00-05:00,316.25,1.0
2022-01-07 09:58:00-05:00,316.45,1.0
2022-01-07 09:59:00-05:00,315.67,-1.0
2022-01-07 10:00:00-05:00,315.56,-1.0
2022-01-07 10:01:00-05:00,315.89,0.0
2022-01-07 10:02:00-05:00,316.0,1.0
2022-01-07 10:03:00-05:00,315.81,-1.0
2022-01-07 10:04:00-05:00,315.17,-1.0
2022-01-07 10:05:00-05:00,314.69,-1.0
2022-01-07 10:06:00-05:00,314.84,1.0
2022-01-07 10:07:00-05:00,314.31,-1.0
2022-01-07 10:08:00-05:00,314.19,0.0
2022-01-07 10:09:00-05:00,313.93,0.0
2022-01-07 10:10:00-05:00,313.99,1.0
2022-01-07 10:11:00-05:00,314.01,1.0
2022-01-07 10:12:00-05:00,314.42,1.0
2022-01-07 10:13:00-05:00,314.52,-1.0
2022-01-07 10:14:00-05:00,314.23,-1.0
2022-01-07 10:15:00-05:00,313.46,-1.0
2022-01-07 10:16:00-05:00,313.71,1.0
2022-01-07 10:17:00-05:00,314.15,1.0
2022-01-07 10:18:00-05:00,313.89,-1.0
2022-01-07 10:19:00-05:00,313.72,1.0
2022-01-07 10:20:00-05:00,313.65,0.0
2022-01-07 10:21:00-05:00,313.58,1.0
2022-01-07 10:22:00-05:00,313.68,1.0
2022-01-07 10:23:00-05:00,313.32,0.0
2022-01-07 10:24:00-05:00,312.76,-1.0
2022-01-07 10:25:00-05:00,313.19,1.0
2022-01-07 10:26:00-05:00,313.24,-1.0
2022-01-07 10:27:00-05:00,312.93,-1.0
2022-01-07 10:28:00-05:00,312.66,-1.0
2022-01-07 10:29:00-05:00,312.82,0.0
2022-01-07 10:30:00-05:00,313.19,0.0
2022-01-07 10:31:00-05:00,313.13,0.0
2022-01-07 10:32:00-05:00,313.43,1.0
2022-01-07 10:33:00-05:00,313.21,0.0
2022-01-07 10:34:00-05:00,313.22,1.0
2022-01-07 10:35:00-05:00,312.95,-1.0
2022-01-07 10:36:00-05:00,312.6,-1.0
2022-01-07 10:37:00-05:00,312.73,1.0
2022-01-07 10:38:00-05:00,312.53,-1.0
2022-01-07 10:39:00-05:00,312.38,-1.0
2022-01-07 10:40:00-05:00,312.66,1.0
2022-01-07 10:41:00-05:00,312.23,-1.0
2022-01-07 10:42:00-05:00,311.95,-1.0
2022-01-07 10:43:00-05:00,311.74,0.0
2022-01-07 10:44:00-05:00,311.84,0.0
2022-01-07 10:45:00-05:00,311.88,1.0
2022-01-07 10:46:00-05:00,311.77,-1.0
2022-01-07 10:47:00-05:00,311.32,-1.0
2022-01-07 10:48:00-05:00,311.23,1.0
2022-01-07 10:49:00-05:00,310.75,-1.0
2022-01-07 10:50:00-05:00,310.89,1.0
2022-01-07 10:51:00-05:00,310.94,1.0
2022-01-07 10:52:00-05:00,310.3,1.0
2022-01-07 10:53:00-05:00,310.28,1.0
2022-01-07 10:54:00-05:00,310.31,1.0
2022-01-07 10:55:00-05:00,310.68,0.0
