Datetime,Open,High,Low,Close,Adj Close,Volume
2022-01-07 09:30:00-05:00,314.15,315.0,313.55,314.52,314.52,1266090
2022-01-07 09:31:00-05:00,314.51,315.32,314.33,315.24,315.24,177362
2022-01-07 09:32:00-05:00,315.24,315.28,314.06,314.66,314.66,113985
2022-01-07 09:33:00-05:00,313.5,313.68,313.27,313.56,313.56,112925
2022-01-07 09:34:00-05:00,313.54,314.14,313.26,313.47,313.47,78540
2022-01-07 09:35:00-05:00,313.5,313.82,313.0,313.2,313.2,130715
2022-01-07 09:36:00-05:00,312.5,312.63,312.49,312.63,312.63,117925
2022-01-07 09:37:00-05:00,312.55,312.8,312.51,312.62,312.62,117303
2022-01-07 09:38:00-05:00,312.62,313.12,312.62,312.75,312.75,100594
2022-01-07 09:39:00-05:00,312.75,313.5,312.75,313.13,313.13,83422
2022-01-07 09:40:00-05:00,313.61,313.73,313.49,313.73,313.73,107000
2022-01-07 09:41:00-05:00,314.25,314.29,314.23,314.29,314.29,124480
2022-01-07 09:42:00-05:00,314.25,314.47,314.09,314.3,314.3,115426
2022-01-07 09:43:00-05:00,314.5,315.52,314.5,315.31,315.31,265003
2022-01-07 09:44:00-05:00,315.18,315.2,314.9,314.9,314.9,152799
2022-01-07 09:45:00-05:00,315.25,315.31,315.17,315.3,315.3,128082
2022-01-07 09:46:00-05:00,315.72,315.73,315.5,315.66,315.66,110990
2022-01-07 09:47:00-05:00,315.0,315.25,314.92,315.25,315.25,125677
2022-01-07 09:48:00-05:00,314.93,315.16,314.88,315.1,315.1,75317
2022-01-07 09:49:00-05:00,315.04,315.15,314.66,314.67,314.67,107205
2022-01-07 09:50:00-05:00,314.62,314.96,314.62,314.86,314.86,95751
2022-01-07 09:51:00-05:00,315.0,315.07,314.62,314.9,314.9,74537
2022-01-07 09:52:00-05:00,314.88,315.45,314.83,315.45,315.45,92738
2022-01-07 09:53:00-05:00,315.34,315.39,315.08,315.21,315.21,120960
2022-01-07 09:54:00-05:00,315.5,315.5,315.32,315.38,315.38,75029
2022-01-07 09:55:00-05:00,315.5,316.07,315.48,316.07,316.07,136631
2022-01-07 09:56:00-05:00,315.75,315.94,315.69,315.94,315.94,150927
2022-01-07 09:57:00-05:00,316.25,316.36,316.09,316.25,316.25,116983
2022-01-07 09:58:00-05:00,316.45,316.5,316.1,316.45,316.45,81545
2022-01-07 09:59:00-05:00,316.47,316.49,315.51,315.67,315.67,92158
2022-01-07 10:00:00-05:00,315.71,315.81,315.27,315.56,315.56,98333
2022-01-07 10:01:00-05:00,315.58,315.96,315.27,315.89,315.89,73563
2022-01-07 10:02:00-05:00,315.88,316.14,315.63,316.0,316.0,68646
2022-01-07 10:03:00-05:00,316.04,316.09,315.6,315.81,315.81,59090
2022-01-07 10:04:00-05:00,315.82,315.93,315.11,315.17,315.17,69946
2022-01-07 10:05:00-05:00,315.18,315.21,314.62,314.69,314.69,100191
2022-01-07 10:06:00-05:00,314.66,314.92,314.56,314.84,314.84,68111
2022-01-07 10:07:00-05:00,314.78,314.87,314.29,314.31,314.31,104489
2022-01-07 10:08:00-05:00,314.32,314.47,314.15,314.19,314.19,87432
2022-01-07 10:09:00-05:00,314.18,314.18,313.77,313.93,313.93,95393
2022-01-07 10:10:00-05:00,313.96,314.22,313.83,313.99,313.99,67240
2022-01-07 10:11:00-05:00,313.97,314.15,313.65,314.01,314.01,88621
2022-01-07 10:12:00-05:00,313.99,314.47,313.99,314.42,314.42,79431
2022-01-07 10:13:00-05:00,314.39,314.56,314.0,314.52,314.52,69885
2022-01-07 10:14:00-05:00,314.54,314.66,314.18,314.23,314.23,73937
2022-01-07 10:15:00-05:00,314.21,314.21,313.46,313.46,313.46,93042
2022-01-07 10:16:00-05:00,313.46,313.79,313.41,313.71,313.71,55352
2022-01-07 10:17:00-05:00,313.71,314.21,313.67,314.15,314.15,58237
2022-01-07 10:18:00-05:00,314.14,314.18,313.8,313.89,313.89,67974
2022-01-07 10:19:00-05:00,313.89,313.91,313.5,313.72,313.72,70754
2022-01-07 10:20:00-05:00,313.77,313.81,313.5,313.65,313.65,79351
2022-01-07 10:21:00-05:00,313.63,313.66,313.38,313.58,313.58,77123
2022-01-07 10:22:00-05:00,313.55,313.72,313.43,313.68,313.68,70870
2022-01-07 10:23:00-05:00,313.65,313.79,313.24,313.32,313.32,81670
2022-01-07 10:24:00-05:00,313.3,313.3,312.69,312.76,312.76,127364
2022-01-07 10:25:00-05:00,312.77,313.26,312.74,313.19,313.19,81659
2022-01-07 10:26:00-05:00,313.19,313.35,313.18,313.24,313.24,75121
2022-01-07 10:27:00-05:00,313.22,313.29,312.88,312.93,312.93,66749
2022-01-07 10:28:00-05:00,312.89,312.97,312.62,312.66,312.66,62442
2022-01-07 10:29:00-05:00,312.7,312.9,312.5,312.82,312.82,122420
2022-01-07 10:30:00-05:00,312.85,313.35,312.58,313.19,313.19,70247
2022-01-07 10:31:00-05:00,313.19,313.34,313.09,313.13,313.13,36087
2022-01-07 10:32:00-05:00,313.13,313.5,313.06,313.43,313.43,51733
2022-01-07 10:33:00-05:00,313.43,313.52,313.1,313.21,313.21,35850
2022-01-07 10:34:00-05:00,313.21,313.5,313.03,313.22,313.22,55582
2022-01-07 10:35:00-05:00,313.23,313.36,312.91,312.95,312.95,75789
